,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,TotalGHGEmissions,SiteEnergyUse,NumberofFloors,NumberofBuildings,CouncilDistrictCode,DefaultData,Latitude,Longitude,Neighborhood,YearBuilt,Outlier,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,BuildingType
6267,0.0,No Use,100.0,business storage,14.990236949527585,4.221103725367875,20.02007673109521,1.0,1.0,2,False,5.601845353575775,-122.3248,greater duwamish,1974,normal,business storage,15.097003335330056,0.0,15.097003335330056,NonResidential
6268,13.006501407569434,business storage,,business storage,13.704552121462278,3.925049964727359,19.77279409001898,1.0,1.0,2,False,5.601838224005219,-122.32628000000001,greater duwamish,1961,normal,business storage,14.642615840685092,0.0,14.642615840685092,NonResidential
6269,0.0,No Use,89.0,business storage,15.386839231586329,1.9335726382610239,18.627786784209636,1.0,1.0,2,False,5.601829609060455,-122.32484,greater duwamish,1974,normal,business storage,15.404775689323412,0.0,15.404775689323412,NonResidential
6271,15.7476947402492,Other,92.0,Housing,16.578372691360805,6.045486656359465,21.511829730091883,2.0,1.0,7,False,5.60361833411231,-122.34727,magnolia,2006,normal,Housing,16.578372691360805,0.0,16.578372691360805,Multifamily LR (1-4)
6272,14.615457220470624,Other,79.0,Housing,15.32860481019635,5.40973035386445,20.77592509493985,2.807354922057604,1.0,5,False,5.606387741083093,-122.29484,north,2004,normal,Housing,15.32860481019635,0.0,15.32860481019635,Multifamily MR (5-9)
6273,0.0,No Use,89.0,Housing,14.485451985555805,2.18269229751619,18.95440365108557,2.0,1.0,7,False,5.603735525795658,-122.34718000000001,magnolia,1959,normal,Housing,14.485451985555805,0.0,14.485451985555805,Multifamily LR (1-4)
6274,0.0,No Use,59.0,Housing,14.287784512498185,2.2387868595871168,19.024392506006556,2.321928094887362,1.0,7,False,5.603695177328608,-122.34668,magnolia,1967,normal,Housing,14.369665499196511,0.0,14.369665499196511,Multifamily LR (1-4)
6275,0.0,No Use,24.0,Housing,17.455062278018953,8.303415462685624,23.351049077698452,4.807354922057604,1.0,7,False,5.603259282610194,-122.32923999999998,east,2002,normal,Housing,17.455062278018953,0.0,17.455062278018953,Multifamily HR (10+)
6276,0.0,No Use,18.0,Housing,16.195968080415422,4.7797850053011315,21.856423818816417,3.4594316186372973,1.0,5,False,5.605983465826893,-122.33453,northwest,1979,normal,Housing,16.195968080415422,0.0,16.195968080415422,Multifamily HR (10+)
6277,13.618844301766652,Other,92.0,Housing,15.129886697143839,2.9068905956085187,19.83089842068949,2.0,1.0,5,False,5.605955029017058,-122.33502,northwest,1988,normal,Housing,15.563732534705844,0.0,15.563732534705844,Multifamily LR (1-4)
6278,12.621365094314863,Other,87.0,Office,14.167182904636409,2.4195388915137843,19.251479232253168,2.0,1.0,5,False,5.605953251697832,-122.33424,northwest,1983,normal,Office,14.167182904636409,12.621365094314863,14.592048184598951,NonResidential
6279,0.0,No Use,82.0,Housing,14.344781348605196,2.327687364176047,19.137324212876308,2.321928094887362,1.0,5,False,5.606031155468486,-122.3335,northwest,1979,normal,Housing,14.344781348605196,0.0,14.344781348605196,Multifamily LR (1-4)
6280,0.0,No Use,67.0,Housing,15.39683887905755,3.8349134297010385,20.429595993326362,3.0,1.0,3,False,5.60346107461777,-122.32626,east,2006,normal,Housing,15.39683887905755,0.0,15.39683887905755,Multifamily MR (5-9)
6281,14.05756873186252,Other,,Housing,15.292249726352955,6.151980551158924,20.833447685328323,2.0,1.0,3,False,5.603687166836925,-122.32306000000001,east,1985,normal,Housing,15.53700600971019,0.0,15.53700600971019,Multifamily LR (1-4)
6282,0.0,No Use,,Housing,14.3292357417338,2.1043366598147357,18.85414731140336,2.0,1.0,2,False,5.60285561390041,-122.33461000000001,downtown,1905,normal,Housing,14.3292357417338,0.0,14.3292357417338,Multifamily LR (1-4)
6283,0.0,No Use,9.0,Housing,14.676067259097655,4.574707046415546,20.31682150206961,2.807354922057604,1.0,6,False,5.6049590909593805,-122.3881,ballard,2006,normal,Housing,15.209072536484145,0.0,15.209072536484145,Multifamily MR (5-9)
6284,0.0,No Use,84.0,Institution,15.463236980639325,6.127014141582809,20.91767090777629,1.0,1.0,5,False,5.606290310741732,-122.32959,northwest,1956,normal,Institution,15.463236980639325,0.0,15.463236980639325,SPS-District K-12
6285,0.0,No Use,47.0,Other,14.607099094093552,4.515384460636948,19.395826969085725,1.0,1.0,5,False,5.606287941532946,-122.32824,northwest,2002,normal,Other,14.607099094093552,0.0,14.607099094093552,NonResidential
6286,14.225885235894607,Other,88.0,Housing,15.405640096204207,3.400537929583729,20.386862644254226,2.321928094887362,1.0,5,False,5.606398697883147,-122.31898000000001,north,1995,normal,Housing,15.933114310038933,0.0,15.933114310038933,Multifamily LR (1-4)
6287,14.12871935409705,Other,83.0,Housing,16.2419459202957,6.050284014301706,21.416930989028128,2.584962500721156,1.0,1,False,5.60181267608806,-122.37286999999999,delridge,1997,normal,Housing,16.2419459202957,0.0,16.2419459202957,Multifamily MR (5-9)
6288,0.0,No Use,97.0,Housing,15.099799814720532,2.5360529002402097,19.394318894615054,2.0,1.0,5,False,5.606154074916092,-122.33363999999999,northwest,1977,normal,Housing,15.30074578700351,0.0,15.30074578700351,Multifamily LR (1-4)
6289,0.0,No Use,94.0,Housing,14.618901641447543,2.144046369616707,18.906006838637673,2.321928094887362,1.0,5,False,5.6061401544442795,-122.33318999999999,northwest,1973,normal,Housing,14.618901641447543,0.0,14.618901641447543,Multifamily LR (1-4)
6290,0.0,No Use,73.0,Housing,14.680304575215601,2.4195388915137843,19.251812055938593,2.321928094887362,1.0,5,False,5.606141931533267,-122.33227,northwest,1971,normal,Housing,14.680304575215601,0.0,14.680304575215601,Multifamily LR (1-4)
6291,13.666334975076676,Other,47.0,Housing,15.30310289894231,3.569248029867182,20.57237479635235,3.0,1.0,7,False,5.6035821362757225,-122.36296000000002,magnolia,1968,normal,Housing,15.296665318976384,0.0,15.296665318976384,Multifamily MR (5-9)
6292,13.04114576747633,Other,68.0,Housing,15.079734767084592,3.065227622775619,19.643511522891597,2.0,1.0,3,False,5.603609729790816,-122.29516000000001,east,2008,normal,Housing,15.079734767084592,0.0,15.079734767084592,Multifamily LR (1-4)
6293,0.0,No Use,,Housing,15.206785448115358,3.382667252745041,20.367816242708102,2.584962500721156,1.0,3,False,5.603987084903722,-122.2765,east,1985,normal,Housing,15.229982896316306,0.0,15.229982896316306,Multifamily MR (5-9)
6294,0.0,No Use,89.0,Housing,14.982236032223657,2.7246502717329673,19.617186065039594,2.321928094887362,1.0,3,False,5.603915300102568,-122.27642,east,1964,normal,Housing,14.982236032223657,0.0,14.982236032223657,Multifamily LR (1-4)
6295,0.0,No Use,97.0,Housing,14.73380977188366,3.9791107550157854,19.31053914628864,2.0,1.0,7,False,5.603675002671909,-122.35236,magnolia,1957,normal,Housing,14.73380977188366,0.0,14.73380977188366,Multifamily LR (1-4)
6296,0.0,No Use,,Housing,14.450051337274045,2.1076878693143737,18.855956110093064,2.321928094887362,1.0,7,False,5.603700220948701,-122.34992,magnolia,1963,normal,Housing,14.614422288546121,0.0,14.614422288546121,Multifamily LR (1-4)
6297,14.513357500168402,Other,96.0,Housing,17.522635165461832,7.1320626778543845,22.455464564697508,2.0,1.0,7,False,5.603677376175575,-122.34923,magnolia,2006,normal,Housing,17.14654878843123,0.0,17.14654878843123,Multifamily LR (1-4)
6298,0.0,No Use,92.0,Housing,15.528850870597026,4.888012585402829,20.170196479176344,2.321928094887362,1.0,7,False,5.602996317141454,-122.32971,downtown,1926,normal,Housing,15.528850870597026,0.0,15.528850870597026,Multifamily LR (1-4)
6299,0.0,No Use,,Housing,14.447664424282372,4.443606651475615,19.10576914782548,2.321928094887362,1.0,7,False,5.603631388846927,-122.3486,magnolia,1910,normal,Housing,14.447664424282372,0.0,14.447664424282372,Multifamily LR (1-4)
6300,0.0,No Use,88.0,Housing,14.446824840780307,4.248686626873828,19.46370321634727,2.0,1.0,7,False,5.603659574802895,-122.34846999999999,magnolia,1957,normal,Housing,14.446824840780307,0.0,14.446824840780307,Multifamily LR (1-4)
6303,15.677306723397574,Other,23.0,Housing,17.598059771791664,8.729858624182647,24.057348677990184,3.4594316186372973,1.0,7,False,5.603034310600328,-122.3361,downtown,2006,normal,Housing,18.498444108294134,14.43996071030687,18.58252792506572,NonResidential
6304,12.899356922923111,Other,95.0,Housing,14.783254055813366,2.62993940943954,19.50539968303062,2.321928094887362,1.0,7,False,5.604485623750556,-122.38806000000001,magnolia,1977,normal,Housing,15.129121992887555,0.0,15.129121992887555,Multifamily LR (1-4)
6305,0.0,No Use,89.0,Housing,14.872722969303823,2.364572432295856,19.181593602600202,2.321928094887362,1.0,7,False,5.604466349721311,-122.39163,magnolia,1968,normal,Housing,14.872722969303823,0.0,14.872722969303823,Multifamily LR (1-4)
6306,0.0,No Use,61.0,Housing,14.6640027628865,2.513490745588118,19.365484914038724,2.321928094887362,1.0,7,False,5.604448854610285,-122.39161999999999,magnolia,1968,normal,Housing,14.6640027628865,0.0,14.6640027628865,Multifamily LR (1-4)
6307,0.0,No Use,85.0,Housing,14.628388578532558,2.277984747299765,19.07535950708338,2.321928094887362,1.0,7,False,5.6044405517714955,-122.39186000000001,magnolia,1968,normal,Housing,14.628388578532558,0.0,14.628388578532558,Multifamily LR (1-4)
6308,0.0,No Use,86.0,Housing,15.178625951241296,2.6712933724815757,19.555148221082064,2.321928094887362,1.0,7,False,5.604430469688726,-122.39233999999999,magnolia,1967,normal,Housing,15.178625951241296,0.0,15.178625951241296,Multifamily LR (1-4)
6309,11.45994384837493,Other,45.0,Housing,15.775841727099515,3.619413010597937,20.626475610483954,2.321928094887362,1.0,7,False,5.604441737894248,-122.39098999999999,magnolia,1969,normal,Housing,15.775841727099515,0.0,15.775841727099515,Multifamily LR (1-4)
6310,11.723660944409984,Other,53.0,Housing,15.366732012584288,3.1858665453113337,20.1473260538808,2.321928094887362,1.0,7,False,5.604428097423717,-122.39013999999999,magnolia,1968,normal,Housing,14.532964631698826,0.0,14.532964631698826,Multifamily LR (1-4)
6311,0.0,No Use,73.0,Housing,14.78269113274609,2.6182386555954547,19.49098989799628,2.584962500721156,1.0,7,False,5.604427504356855,-122.3891,magnolia,1970,normal,Housing,14.78269113274609,0.0,14.78269113274609,Multifamily MR (5-9)
6312,0.0,No Use,80.0,Housing,15.284137283314422,2.782408564927373,19.686240399175695,2.584962500721156,1.0,7,False,5.604455378235812,-122.39078,magnolia,1970,normal,Housing,15.284137283314422,0.0,15.284137283314422,Multifamily MR (5-9)
6313,0.0,No Use,48.0,Housing,15.307805600856593,3.2720231890610485,20.24479090818405,2.584962500721156,1.0,7,False,5.604455378235812,-122.39078,magnolia,1968,normal,Housing,15.307805600856593,0.0,15.307805600856593,Multifamily MR (5-9)
6314,0.0,No Use,65.0,Housing,15.44759985827995,3.215678596607928,20.18131197591118,2.584962500721156,1.0,7,False,5.604459826145395,-122.39027,magnolia,1968,normal,Housing,15.44759985827995,0.0,15.44759985827995,Multifamily MR (5-9)
6316,0.0,No Use,79.0,Housing,15.0304516124053,2.673556423990145,19.558951865783115,2.584962500721156,1.0,7,False,5.604402002251164,-122.38881,magnolia,1973,normal,Housing,15.0304516124053,0.0,15.0304516124053,Multifamily MR (5-9)
6317,0.0,No Use,76.0,Housing,15.1428649114727,2.763411574470007,19.663251453070878,2.584962500721156,1.0,7,False,5.604406450325311,-122.38887,magnolia,1973,normal,Housing,15.1428649114727,0.0,15.1428649114727,Multifamily MR (5-9)
